Draft,Pick,First,Last,Full,Year,POS,School,Power 5,NPPG,NRPG,NAPG,NBPG,NSPG,N3PT,N3PA,WS,CPPG,CRPG,CAPG,CBPG,CSPG,C3PT
2011,1,Kyrie,Irving,Kyrie Irving,FR,PG,Duke,B,22.5,3.7,6.1,0.4,1.5,0.418,378,10.4,17.5,3.4,4.3,0.5,1.5,0.462
2011,2,Derrick,Williams,Derrick Williams,SO,PF,Arizona,P,12,5.5,0.8,0.5,0.6,0.332,196,3,19.5,8.3,1.1,0.7,1,0.568
2011,4,Tristan,Thompson,Tristan Thompson,FR,PF,Texas,B,11.7,9.7,1.3,1,0.7,0,3,6.8,13.1,7.8,1.3,2.4,0.9,0
2011,8,Brandon,Knight,Brandon Knight,FR,PG,Kentucky,B,19.7,3.9,5.3,0.3,1.4,0.389,321,4.5,17.3,4,4.2,0.2,0.7,0.377
2011,9,Kemba,Walker,Kemba Walker,JR,PG,Connecticut,B,19,4.2,6.1,0.7,1.7,0.343,166,5.1,23.5,5.4,4.5,0.2,1.9,0.33
2011,10,Jimmer,Fredette,Jimmer Fredette,SR,PG,BYU,P,7.6,1.2,1.8,0.1,0.5,0.476,84,1.1,28.9,3.4,4.3,0,1.3,0.396
2011,11,Klay,Thompson,Klay Thompson,JR,SG,Washington State,P,21.7,3.9,2.9,0.8,1.1,0.439,545,8.8,21.6,5.2,3.7,0.9,1.6,0.398
2011,12,Alec,Burks,Alec Burks,SO,SG,Colorado,P,14.3,4.2,3,0.2,0.9,0.387,75,3.2,20.5,6.5,2.9,0.4,1.1,0.292
2011,13,Markieff,Morris,Markieff Morris,JR,PF,Kansas,B,15.3,6.2,2.3,0.8,1.2,0.347,124,6.4,13.6,8.3,1.4,1.1,0.8,0.424
2011,14,Marcus,Morris,Marcus Morris,JR,PF,Kansas,B,13.8,5.3,2,0.3,1,0.381,260,4.2,17.2,7.6,1.6,0.6,0.8,0.342
2011,15,Kawhi,Leonard,Kawhi Leonard,SO,SF,San Diego State,M,20.2,7.2,2.6,0.9,2.3,0.483,147,8.6,15.5,10.6,2.5,0.6,1.4,0.291
2011,16,Nikola,Vucevic,Nikola Vucevic,JR,C,USC,P,19.3,11.9,2.8,1,1.1,0.375,8,7,17.1,10.3,1.6,1.4,0.5,0.349
2011,17,Iman,Shumpert,Iman Shumpert,JR,PG,Georgia Tech,P,9.5,4.2,2.8,0.4,1.7,0.402,127,2.4,17.3,5.9,3.5,0.2,2.7,0.278
2011,18,Chris,Singleton,Chris Singleton,JR,SF,Florida State,P,4.6,3.5,0.7,0.5,1.1,0.346,127,1.5,13.1,6.8,1.2,1.5,2,0.368
2011,19,Tobias,Harris,Tobias Harris,FR,PF,Tennessee,P,17.1,7.1,2.1,0.8,1,0.364,239,4.8,15.3,7.3,1.3,0.9,0.7,0.303
2011,21,Nolan,Smith,Nolan Smith,SR,SG,Duke,B,3.8,1.3,1.4,0.1,0.4,0.289,45,-0.3,20.6,4.5,5.1,0.1,1.2,0.35
2011,22,Kenneth,Faried,Kenneth Faried,SR,PF,Morehead State,M,13.7,9.2,1.2,1.1,1,0.125,8,7.8,17.3,14.5,1.1,2.3,1.9,0
2011,24,Reggie,Jackson,Reggie Jackson,JR,PG,Boston College,P,19.6,4.2,6.6,0.2,0.9,0.357,154,4.9,18.2,4.3,4.5,0.5,1.1,0.42
2011,25,MarShon,Brooks,MarShon Brooks,SR,SG,Providence,P,12.6,3.6,2.3,0.3,0.9,0.313,150,1.3,24.6,7,2.5,1.2,1.5,0.34
2011,26,Jordan,Hamilton,Jordan Hamilton,SO,SF,Texas,B,6.7,3.2,0.9,0.3,0.7,0.354,198,1.6,18.6,7.7,2.1,0.6,0.9,0.385
2011,27,JaJuan,Johnson,JaJuan Johnson,SR,PF,Purdue,P,3.2,1.6,0.2,0.4,0.1,0,0,0.2,20.5,8.6,1,2.3,0.9,0.294
